縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
宜蘭縣,五結鄉,協和中路5巷-五結衛生所附近,6,裡地,透天住宅,鋼筋混凝土造,０９６０９,100年01月,3,全,住宅區,30.86,69.90,660,9.44
宜蘭縣,五結鄉,協和中路-五結國小附近,9,裡地,透天住宅,鋼筋混凝土造,０９７０２,098年07月,4,全,住宅區,26.92,70.95,620,8.74
宜蘭縣,五結鄉,協和中路-五結國小附近,9,裡地,透天住宅,鋼筋混凝土造,０９７０２,098年07月,4,全,住宅區,25.71,70.95,500,7.05
宜蘭縣,五結鄉,協和中路-五結國小附近,9,裡地,透天住宅,鋼筋混凝土造,０９７０２,099年01月,4,全,住宅區,26.62,70.95,505,7.12
宜蘭縣,五結鄉,協和中路-五結鄉公所附近,15,裡地,透天住宅,鋼筋混凝土造,０８９１２,090年07月,3,全,住宅區,28.13,59.99,540,9.00
宜蘭縣,五結鄉,協和中路-五結鄉公所附近,8,臨街地,店面(店舖),鋼筋混凝土造,０８８０１,091年04月,3,全,住宅區,29.04,61.42,520,8.47
宜蘭縣,五結鄉,協和中路-五結鄉公所附近,8,裡地,透天住宅,鋼筋混凝土造,０８８０９,091年04月,3,全,住宅區,29.04,61.47,550,8.95
宜蘭縣,五結鄉,協和中路-五結鄉公所附近,10,臨街地,透天住宅,鋼筋混凝土造,０８８０３,091年07月,3,全,住宅區,30.25,57.11,500,8.76
宜蘭縣,五結鄉,協和中路-五結鄉公所附近,10,裡地,透天住宅,鋼筋混凝土造,０８４０６,092年12月,3,全,住宅區,32.67,62.45,570,9.13
宜蘭縣,五結鄉,協和中路-五結鄉公所附近,15,裡地,透天住宅,鋼筋混凝土造,０９３１０,093年12月,3,全,住宅區,31.16,60.65,550,9.07
